S.No.,Company Name,Ticker
1,Hong Leong Bank Berhad,5819.KL
2,IOI Corp.Bhd,1961.KL
3,IHH Healthcare Berhad,5225.KL
4,Malayan Banking Berhad,1155.KL
5,Hartalega Holdings Berhad,5168.KL
6,PPB Group Berhad,4065.KL
7,SIMEPLT,5285.KL
8,Kuala Lumpur Kepong Berhad,2445.KL
9,Public Bank Berhad,1295.KL
10,Maxis Berhad,6012.KL
11,Hap Seng Consolidated Berhad,3034.KL
12,AMMB Holdings Berhad,1015.KL
13,Nestlé (Malaysia) Berhad,4707.KL
14,Tenaga Nasional Berhad,5347.KL
15,Dialog Group Berhad,7277.KL
16,MISC,3816.KL
17,Genting Malaysia Berhad,4715.KL
18,Genting Berhad,3182.KL
19,CIMB Group Holdings Berhad,1023.KL
20,Press Metal Bhd,8869.KL
21,DiGi.Com Berhad,6947.KL
22,Top Glove Corporation Berhad,7113.KL
23,Hong Leong Financial Group Berhad,1082.KL
24,Petronas Gas Bhd,6033.KL
25,PCHEM,5183.KL
26,Malaysia Airports Holdings Bhd,5014.KL
27,RHB Capital Berhad,1066.KL
28,Petronas Dagangan Bhd,5681.KL
29,Sime Darby Berhad,4197.KL
30,Axiata Group Berhad,6888.KL
